TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK,TRAVEL_PURPOSE_22,TRAVEL_PURPOSE_1,TRAVEL_PURPOSE_6,TRAVEL_PURPOSE_4,TRAVEL_PURPOSE_2,TRAVEL_PURPOSE_26,TRAVEL_PURPOSE_21,TRAVEL_PURPOSE_24,TRAVEL_PURPOSE_3,TRAVEL_PURPOSE_5,TRAVEL_PURPOSE_OTHER,TRAVEL_PURPOSE_COUNT,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,IS_FAILED_TRIP,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e_e000004,3,2023-04-30,2023-05-01,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,3;4;11,0,0,0,0,0,0,0,0,1,0,0,1,96900,0,0,3,2,120944,0,0,4.0,3.333333333333333,3.6666666666666665,2,5,0,41,남,40,6,2,3,2,7,8.0,2,1,50,50110,42,42210,42,42170,5,경기도,경기,자녀 동반 여행,1,3.0,0.0,2,41,41
e_e000006,21,2023-04-30,2023-05-02,정보없음,경기 방문/거주지 구분 없음/39세 이하/특별미션,21;10;27,0,0,0,0,0,0,1,0,0,0,0,1,58500,4,3,11,6,120944,0,0,4.75,4.75,4.75,3,11,0,11,남,30,7,1,1,3,5,7.0,3,4,26,26350,26,26710,50,50110,2,서울특별시,경기,2인 가족 여행,1,2.0,3.0,1,11,41
e_e000009,2;4,2023-04-29,2023-05-01,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,22;1;7,0,0,0,1,1,0,0,0,0,0,0,2,319340,9,9,15,5,120944,0,0,4.5,4.5,4.5,3,12,0,28,여,30,5,1,3,3,4,12.0,2,1,42,42150,11,11440,41,41650,7,인천광역시,경기,2인 여행(가족 외),3,1.0,2.0,1,28,41
e_e000010,3;6,2023-04-29,2023-05-01,정보없음,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;3;1,0,0,1,0,0,0,0,0,1,0,0,2,421160,9,8,18,5,120944,0,0,4.25,4.25,3.9166666666666665,3,15,0,48,여,30,6,1,2,3,4,4.0,2,2,11,11710,11,11440,26,26350,3,경상남도,서울,나홀로 여행,8,1.0,2.0,0,48,11
e_e000011,1;21,2023-04-28,2023-05-01,정보없음,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,6;2;24,0,1,0,0,0,0,1,0,0,0,0,2,764300,8,7,16,6,120944,0,0,3.9,3.7,3.8,4,14,0,48,여,60,7,2,1,2,7,7.0,2,1,48,48220,11,11560,26,26710,6,경상남도,서울,3인 이상 여행(가족 외),3,7.0,1.0,3,48,11
e_e000013,1;22;24;6,2023-04-28,2023-04-30,정보없음,서울 외 수도권 방문/수도권 외 거주/40세 이상/부모 동반/일반미션,1;8;6,1,1,1,0,0,0,0,1,0,0,0,4,414220,8,8,11,4,240000,1,1,4.666666666666667,4.333333333333333,4.333333333333333,3,8,0,45,여,20,6,1,2,3,4,4.0,3,4,11,11110,30,30200,46,46820,2,전라북도,경기,부모 동반 여행,3,1.0,2.0,3,45,41
e_e000014,2,2023-05-01,2023-05-02,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;1;22,0,0,0,0,1,0,0,0,0,0,0,1,189000,3,2,3,3,120944,0,0,5.0,5.0,5.0,2,3,0,28,남,60,7,2,6,3,7,11.0,3,2,50,50130,42,42720,41,41820,6,인천광역시,경기,자녀 동반 여행,3,9.0,1.0,2,28,41
e_e000015,7,2023-04-28,2023-05-02,정보없음,서울 방문/수도권 외 거주/40세 이상/커플/일반미션,7;6;4,0,0,0,0,0,0,0,0,0,0,1,1,453600,17,16,23,7,120944,0,0,3.888888888888889,3.333333333333333,3.5,5,24,0,45,남,20,4,1,3,12,2,6.0,3,2,50,50130,26,26350,11,11215,5,전라북도,서울,2인 여행(가족 외),3,1.0,10.0,1,45,11
e_e000016,1;22;4,2023-04-29,2023-04-30,정보없음,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;4;22,1,1,0,1,0,0,0,0,0,0,0,3,135300,4,4,4,3,120944,0,0,4.0,4.0,4.0,2,4,0,11,남,30,6,1,1,3,4,7.0,2,1,11,11500,41,41280,45,45110,1,서울특별시,경기,나홀로 여행,1,4.0,2.0,0,11,41
e_e000018,2;11,2023-04-29,2023-04-30,정보없음,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;5;11,0,0,0,0,1,0,0,0,0,0,1,2,58500,3,2,2,2,120944,0,0,5.0,5.0,5.0,2,4,0,41,여,40,6,2,5,11,1,5.0,3,6,41,41360,42,42790,11,11410,2,경기도,경기,자녀 동반 여행,1,7.0,8.0,2,41,41
